date,currency,usd_rate,source
2023-06-13,EUR,1.079296,ecb_frankfurter
2023-06-13,CAD,0.749344,ecb_frankfurter
2023-06-14,USD,1.000000,ecb_frankfurter
2023-06-14,GBP,1.264878,ecb_frankfurter
2023-06-14,EUR,1.080906,ecb_frankfurter
2023-06-14,CAD,0.751767,ecb_frankfurter
2023-06-15,USD,1.000000,ecb_frankfurter
2023-06-15,GBP,1.264574,ecb_frankfurter
2023-06-15,EUR,1.081900,ecb_frankfurter
2023-06-15,CAD,0.750525,ecb_frankfurter
2023-06-16,USD,1.000000,ecb_frankfurter
2023-06-16,GBP,1.283648,ecb_frankfurter
2023-06-16,EUR,1.096599,ecb_frankfurter
2023-06-16,CAD,0.756258,ecb_frankfurter
2023-06-17,USD,1.000000,ecb_frankfurter
2023-06-17,GBP,1.283648,ecb_frankfurter
2023-06-17,EUR,1.096599,ecb_frankfurter
2023-06-17,CAD,0.756258,ecb_frankfurter
2023-06-18,USD,1.000000,ecb_frankfurter
2023-06-18,GBP,1.283648,ecb_frankfurter
2023-06-18,EUR,1.096599,ecb_frankfurter
2023-06-18,CAD,0.756258,ecb_frankfurter
2023-06-19,USD,1.000000,ecb_frankfurter
2023-06-19,GBP,1.280902,ecb_frankfurter
2023-06-19,EUR,1.092204,ecb_frankfurter
2023-06-19,CAD,0.757920,ecb_frankfurter
2023-06-20,USD,1.000000,ecb_frankfurter
2023-06-20,GBP,1.275657,ecb_frankfurter
2023-06-20,EUR,1.093302,ecb_frankfurter
2023-06-20,CAD,0.755401,ecb_frankfurter
2023-06-21,USD,1.000000,ecb_frankfurter
2023-06-21,GBP,1.272669,ecb_frankfurter
2023-06-21,EUR,1.092299,ecb_frankfurter
2023-06-21,CAD,0.756716,ecb_frankfurter
2023-06-22,USD,1.000000,ecb_frankfurter
2023-06-22,GBP,1.275624,ecb_frankfurter
2023-06-22,EUR,1.098503,ecb_frankfurter
2023-06-22,CAD,0.759532,ecb_frankfurter
2023-06-23,USD,1.000000,ecb_frankfurter
2023-06-23,GBP,1.273301,ecb_frankfurter
2023-06-23,EUR,1.088400,ecb_frankfurter
2023-06-23,CAD,0.756888,ecb_frankfurter
